item_id,template_family,paraphrase_group,option_A_benefit_magnitude,option_A_harm_magnitude,option_A_benefit_probability,option_A_temporal_delay,option_A_directness_of_harm,option_A_beneficiary_identified,option_A_consent_of_harmed_party,option_A_reversibility_of_harm,option_B_benefit_magnitude,option_B_harm_magnitude,option_B_benefit_probability,option_B_temporal_delay,option_B_directness_of_harm,option_B_beneficiary_identified,option_B_consent_of_harmed_party,option_B_reversibility_of_harm,option_order,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm,anchor_flag
cand_0161,direct_harm_tradeoff,pg_0161,1000,1,0.5,100,1,0,0,0,1000,0,0.2,100,1,0,0,0,BA,0,1,0.3,0,0,0,0,0,False
cand_0162,rescue_triage,pg_0162,100,1,0.2,0,0,0,1,0,10,0,0.5,0,0,1,0,0,AB,90,1,-0.3,0,0,-1,1,0,False
cand_0163,policy_prevention,pg_0163,10,1,0.2,0,0,0,1,1,10,1,0.2,10,0,0,0,1,BA,0,0,0.0,-10,0,0,1,0,False
cand_0164,direct_harm_tradeoff,pg_0164,100,1,1.0,100,0,1,1,0,100,10,1.0,0,0,0,0,0,BA,0,-9,0.0,100,0,1,1,0,False
cand_0165,rescue_triage,pg_0165,100,1,0.2,0,0,1,0,1,10,1,0.5,0,1,0,0,1,BA,90,0,-0.3,0,-1,1,0,0,False
cand_0166,policy_prevention,pg_0166,10,0,0.5,10,0,1,0,0,10,1,1.0,0,1,0,1,0,AB,0,-1,-0.5,10,-1,1,-1,0,False
cand_0167,direct_harm_tradeoff,pg_0167,100,1,1.0,0,0,1,0,1,1000,10,1.0,10,0,1,1,0,BA,-900,-9,0.0,-10,0,0,-1,1,False
cand_0168,rescue_triage,pg_0168,10,1,1.0,100,1,0,1,1,1000,1,1.0,100,1,0,0,1,BA,-990,0,0.0,0,0,0,1,0,False
cand_0169,policy_prevention,pg_0169,100,10,0.2,100,1,1,1,1,100,1,0.2,10,0,0,1,0,BA,0,9,0.0,90,1,1,0,1,False
cand_0170,direct_harm_tradeoff,pg_0170,10,10,0.2,100,1,0,0,1,100,10,1.0,0,1,0,0,0,BA,-90,0,-0.8,100,0,0,0,1,False
cand_0171,rescue_triage,pg_0171,100,1,0.2,0,0,0,1,0,10,1,0.2,100,1,1,0,0,BA,90,0,0.0,-100,-1,-1,1,0,False
cand_0172,policy_prevention,pg_0172,100,1,1.0,10,1,1,0,1,10,10,1.0,0,0,1,1,0,BA,90,-9,0.0,10,1,0,-1,1,False
cand_0173,direct_harm_tradeoff,pg_0173,10,10,0.2,100,1,1,0,1,100,10,1.0,10,1,0,0,1,BA,-90,0,-0.8,90,0,1,0,0,False
cand_0174,rescue_triage,pg_0174,10,1,0.5,0,1,1,0,0,10,1,0.5,0,0,0,0,0,BA,0,0,0.0,0,1,1,0,0,False
cand_0175,policy_prevention,pg_0175,1000,10,0.2,100,0,0,0,0,100,1,0.2,100,0,1,1,0,AB,900,9,0.0,0,0,-1,-1,0,False
cand_0176,direct_harm_tradeoff,pg_0176,1000,10,1.0,0,1,1,0,1,10,1,0.2,10,1,1,0,1,AB,990,9,0.8,-10,0,0,0,0,False
cand_0177,rescue_triage,pg_0177,1000,1,0.2,0,1,0,1,0,100,10,0.5,10,0,1,1,1,BA,900,-9,-0.3,-10,1,-1,0,-1,False
cand_0178,policy_prevention,pg_0178,1000,1,0.5,100,0,0,0,0,10,1,1.0,100,1,0,1,0,BA,990,0,-0.5,0,-1,0,-1,0,False
cand_0179,direct_harm_tradeoff,pg_0179,100,10,0.5,0,1,0,1,1,10,10,1.0,10,1,0,1,0,AB,90,0,-0.5,-10,0,0,0,1,False
cand_0180,rescue_triage,pg_0180,100,1,0.2,100,1,0,1,0,100,1,0.2,100,0,1,1,0,AB,0,0,0.0,0,1,-1,0,0,False
cand_0181,policy_prevention,pg_0181,100,1,1.0,100,0,1,0,0,100,10,1.0,10,0,1,1,1,BA,0,-9,0.0,90,0,0,-1,-1,False
cand_0182,direct_harm_tradeoff,pg_0182,100,10,0.5,10,1,1,1,1,10,10,1.0,10,1,0,0,1,BA,90,0,-0.5,0,0,1,1,0,False
cand_0183,rescue_triage,pg_0183,100,0,0.2,0,1,1,0,0,100,1,1.0,100,0,1,1,1,AB,0,-1,-0.8,-100,1,0,-1,-1,False
cand_0184,policy_prevention,pg_0184,100,1,1.0,0,1,1,1,0,100,10,0.5,100,1,0,1,1,AB,0,-9,0.5,-100,0,1,0,-1,False
cand_0185,direct_harm_tradeoff,pg_0185,1000,10,0.5,100,1,1,1,0,100,1,0.5,100,1,0,0,0,BA,900,9,0.0,0,0,1,1,0,False
cand_0186,rescue_triage,pg_0186,100,10,0.2,0,0,0,1,1,1000,1,1.0,100,1,1,0,0,BA,-900,9,-0.8,-100,-1,-1,1,1,False
cand_0187,policy_prevention,pg_0187,1000,1,0.5,100,1,1,0,1,100,1,0.5,10,1,1,0,0,BA,900,0,0.0,90,0,0,0,1,False
cand_0188,direct_harm_tradeoff,pg_0188,10,10,0.5,0,1,1,0,0,1000,1,0.2,10,1,1,0,0,AB,-990,9,0.3,-10,0,0,0,0,False
cand_0189,rescue_triage,pg_0189,100,1,1.0,0,0,0,0,1,1000,1,0.5,10,1,1,0,1,AB,-900,0,0.5,-10,-1,-1,0,0,False
cand_0190,policy_prevention,pg_0190,1000,1,1.0,10,0,1,0,1,1000,1,0.5,100,0,0,1,1,AB,0,0,0.5,-90,0,1,-1,0,False
cand_0191,direct_harm_tradeoff,pg_0191,10,0,1.0,0,0,1,0,0,10,10,0.5,10,1,0,1,1,AB,0,-10,0.5,-10,-1,1,-1,-1,False
cand_0192,rescue_triage,pg_0192,100,1,0.5,0,0,1,1,1,10,1,0.5,100,0,0,0,0,AB,90,0,0.0,-100,0,1,1,1,False
cand_0193,policy_prevention,pg_0193,10,10,0.2,10,0,1,1,0,100,10,0.5,0,1,0,1,0,AB,-90,0,-0.3,10,-1,1,0,0,False
cand_0194,direct_harm_tradeoff,pg_0194,100,1,0.5,100,0,0,1,0,100,0,0.2,100,1,0,0,0,BA,0,1,0.3,0,-1,0,1,0,False
cand_0195,rescue_triage,pg_0195,100,1,0.2,0,0,1,1,0,1000,0,1.0,100,1,0,0,0,AB,-900,1,-0.8,-100,-1,1,1,0,False
cand_0196,policy_prevention,pg_0196,1000,10,0.2,100,1,1,1,1,100,10,1.0,0,1,1,1,0,AB,900,0,-0.8,100,0,0,0,1,False
cand_0197,direct_harm_tradeoff,pg_0197,1000,0,1.0,10,0,1,0,0,100,1,1.0,0,1,0,0,0,AB,900,-1,0.0,10,-1,1,0,0,False
cand_0198,rescue_triage,pg_0198,1000,10,0.2,100,1,0,0,0,1000,10,1.0,100,0,0,0,1,BA,0,0,-0.8,0,1,0,0,-1,False
cand_0199,policy_prevention,pg_0199,10,1,1.0,10,0,0,1,1,1000,1,0.5,10,1,1,1,1,BA,-990,0,0.5,0,-1,-1,0,0,False
cand_0200,direct_harm_tradeoff,pg_0200,100,10,1.0,10,1,0,1,1,10,1,0.2,100,0,1,1,1,AB,90,9,0.8,-90,1,-1,0,0,False
cand_0201,rescue_triage,pg_0201,1000,1,0.5,100,0,1,0,0,100,0,0.5,10,1,1,0,0,AB,900,1,0.0,90,-1,0,0,0,False
cand_0202,policy_prevention,pg_0202,100,1,0.2,100,1,1,0,1,100,1,0.2,100,0,0,0,0,AB,0,0,0.0,0,1,1,0,1,False
cand_0203,direct_harm_tradeoff,pg_0203,10,10,1.0,0,1,1,0,1,10,1,0.5,100,1,0,1,0,BA,0,9,0.5,-100,0,1,-1,1,False
cand_0204,rescue_triage,pg_0204,100,10,1.0,0,0,0,1,1,10,10,0.2,0,1,1,0,1,AB,90,0,0.8,0,-1,-1,1,0,False
cand_0205,policy_prevention,pg_0205,10,1,1.0,0,1,0,1,1,100,1,0.5,0,1,0,1,1,BA,-90,0,0.5,0,0,0,0,0,False
cand_0206,direct_harm_tradeoff,pg_0206,10,10,0.5,0,1,1,0,0,10,10,0.2,10,1,0,1,1,BA,0,0,0.3,-10,0,1,-1,-1,False
cand_0207,rescue_triage,pg_0207,1000,1,1.0,0,0,0,1,0,100,10,1.0,0,1,0,1,0,BA,900,-9,0.0,0,-1,0,0,0,False
cand_0208,policy_prevention,pg_0208,1000,1,0.2,10,0,1,0,1,1000,0,1.0,10,1,1,0,0,AB,0,1,-0.8,0,-1,0,0,1,False
cand_0209,direct_harm_tradeoff,pg_0209,1000,10,0.5,0,0,1,1,1,1000,1,0.5,100,0,1,1,0,AB,0,9,0.0,-100,0,0,0,1,False
cand_0210,rescue_triage,pg_0210,100,1,1.0,10,0,0,0,0,1000,0,1.0,100,0,1,0,0,BA,-900,1,0.0,-90,0,-1,0,0,False
cand_0211,policy_prevention,pg_0211,10,10,1.0,0,1,0,1,1,100,10,0.2,100,1,0,0,0,BA,-90,0,0.8,-100,0,0,1,1,False
cand_0212,direct_harm_tradeoff,pg_0212,100,10,0.2,100,0,0,1,1,100,1,0.5,10,0,1,1,0,BA,0,9,-0.3,90,0,-1,0,1,False
cand_0213,rescue_triage,pg_0213,100,1,0.5,100,1,1,1,0,10,0,1.0,100,1,0,0,0,AB,90,1,-0.5,0,0,1,1,0,False
cand_0214,policy_prevention,pg_0214,1000,10,1.0,100,1,1,0,1,1000,10,0.2,100,0,1,0,0,BA,0,0,0.8,0,1,0,0,1,False
cand_0215,direct_harm_tradeoff,pg_0215,10,10,1.0,10,1,0,1,0,10,1,1.0,0,1,0,0,0,AB,0,9,0.0,10,0,0,1,0,False
cand_0216,rescue_triage,pg_0216,100,10,0.5,10,0,0,1,1,1000,10,0.5,0,0,0,0,1,AB,-900,0,0.0,10,0,0,1,0,False
cand_0217,policy_prevention,pg_0217,100,0,1.0,10,0,0,0,0,10,10,1.0,0,1,1,1,0,BA,90,-10,0.0,10,-1,-1,-1,0,False
cand_0218,direct_harm_tradeoff,pg_0218,100,1,1.0,0,1,0,0,1,100,10,1.0,0,0,1,0,1,BA,0,-9,0.0,0,1,-1,0,0,False
cand_0219,rescue_triage,pg_0219,1000,1,0.2,100,0,0,0,0,100,10,0.5,100,0,0,1,1,AB,900,-9,-0.3,0,0,0,-1,-1,False
cand_0220,policy_prevention,pg_0220,100,10,1.0,10,1,0,1,1,1000,10,0.2,10,0,0,1,0,BA,-900,0,0.8,0,1,0,0,1,False
cand_0221,direct_harm_tradeoff,pg_0221,10,10,0.5,100,0,0,0,1,1000,10,1.0,0,0,0,0,0,BA,-990,0,-0.5,100,0,0,0,1,False
cand_0222,rescue_triage,pg_0222,100,1,0.2,10,0,1,0,1,1000,1,1.0,10,0,0,1,1,AB,-900,0,-0.8,0,0,1,-1,0,False
cand_0223,policy_prevention,pg_0223,100,10,1.0,10,1,0,0,1,100,1,1.0,100,1,1,0,0,BA,0,9,0.0,-90,0,-1,0,1,False
cand_0224,direct_harm_tradeoff,pg_0224,100,0,1.0,0,1,1,0,0,1000,10,1.0,0,1,0,0,0,BA,-900,-10,0.0,0,0,1,0,0,False
cand_0225,rescue_triage,pg_0225,10,1,0.5,0,0,1,1,1,10,10,0.5,100,0,1,0,1,BA,0,-9,0.0,-100,0,0,1,0,False
cand_0226,policy_prevention,pg_0226,1000,10,1.0,0,0,0,0,0,100,1,0.5,0,1,0,1,0,BA,900,9,0.5,0,-1,0,-1,0,False
cand_0227,direct_harm_tradeoff,pg_0227,1000,1,1.0,0,1,0,1,0,100,1,0.2,10,1,0,1,0,BA,900,0,0.8,-10,0,0,0,0,False
cand_0228,rescue_triage,pg_0228,10,1,1.0,100,1,1,1,1,100,1,1.0,100,1,1,1,1,BA,-90,0,0.0,0,0,0,0,0,False
cand_0229,policy_prevention,pg_0229,10,10,0.5,0,1,0,0,0,1000,10,0.2,100,1,1,1,0,BA,-990,0,0.3,-100,0,-1,-1,0,False
cand_0230,direct_harm_tradeoff,pg_0230,1000,0,1.0,10,1,1,0,0,1000,0,0.5,0,1,1,0,0,BA,0,0,0.5,10,0,0,0,0,False
cand_0231,rescue_triage,pg_0231,1000,10,0.2,10,1,0,0,0,10,10,0.2,0,1,1,1,1,BA,990,0,0.0,10,0,-1,-1,-1,False
cand_0232,policy_prevention,pg_0232,10,10,0.2,0,1,1,1,0,1000,1,1.0,0,1,0,0,0,AB,-990,9,-0.8,0,0,1,1,0,False
cand_0233,direct_harm_tradeoff,pg_0233,1000,10,0.5,100,0,0,0,1,100,1,0.5,100,1,0,1,0,BA,900,9,0.0,0,-1,0,-1,1,False
cand_0234,rescue_triage,pg_0234,1000,0,1.0,10,1,0,0,0,100,0,0.5,100,1,0,0,0,BA,900,0,0.5,-90,0,0,0,0,False
cand_0235,policy_prevention,pg_0235,10,10,0.2,100,1,0,1,0,10,10,0.2,10,0,1,0,0,BA,0,0,0.0,90,1,-1,1,0,False
cand_0236,direct_harm_tradeoff,pg_0236,1000,1,0.2,0,0,0,1,0,1000,1,1.0,0,0,0,0,1,AB,0,0,-0.8,0,0,0,1,-1,False
cand_0237,rescue_triage,pg_0237,10,1,0.2,0,0,1,0,0,10,10,0.5,10,0,1,0,0,BA,0,-9,-0.3,-10,0,0,0,0,False
cand_0238,policy_prevention,pg_0238,1000,1,1.0,10,0,0,1,0,10,1,1.0,0,0,0,1,1,AB,990,0,0.0,10,0,0,0,-1,False
cand_0239,direct_harm_tradeoff,pg_0239,100,1,1.0,10,0,0,1,1,1000,10,1.0,100,1,1,1,0,AB,-900,-9,0.0,-90,-1,-1,0,1,False
cand_0240,rescue_triage,pg_0240,1000,0,1.0,100,1,1,0,0,100,0,1.0,0,0,0,0,0,AB,900,0,0.0,100,1,1,0,0,False
cand_0241,policy_prevention,pg_0241,10,1,0.2,0,1,0,1,0,100,10,0.2,10,1,0,0,1,BA,-90,-9,0.0,-10,0,0,1,-1,False
cand_0242,direct_harm_tradeoff,pg_0242,1000,1,1.0,0,0,1,0,0,1000,0,0.2,100,1,1,0,0,BA,0,1,0.8,-100,-1,0,0,0,False
cand_0243,rescue_triage,pg_0243,100,1,0.5,10,0,0,1,0,1000,10,0.2,100,0,0,1,0,AB,-900,-9,0.3,-90,0,0,0,0,False
cand_0244,policy_prevention,pg_0244,10,10,1.0,0,0,1,1,1,100,1,0.2,0,1,0,1,1,BA,-90,9,0.8,0,-1,1,0,0,False
cand_0245,direct_harm_tradeoff,pg_0245,1000,1,1.0,100,0,1,0,1,100,0,0.2,0,1,1,0,0,AB,900,1,0.8,100,-1,0,0,1,False
cand_0246,rescue_triage,pg_0246,1000,1,1.0,100,1,1,1,0,1000,10,0.5,100,1,0,1,1,BA,0,-9,0.5,0,0,1,0,-1,False
cand_0247,policy_prevention,pg_0247,100,1,0.5,10,1,1,0,0,100,1,1.0,10,1,1,0,0,AB,0,0,-0.5,0,0,0,0,0,False
cand_0248,direct_harm_tradeoff,pg_0248,100,0,0.5,10,0,1,0,0,10,10,0.2,10,0,0,0,0,AB,90,-10,0.3,0,0,1,0,0,False
cand_0249,rescue_triage,pg_0249,1000,10,0.2,0,0,0,1,0,1000,10,0.2,10,1,0,1,0,BA,0,0,0.0,-10,-1,0,0,0,False
cand_0250,policy_prevention,pg_0250,10,1,1.0,100,0,1,1,1,100,10,0.2,100,1,1,0,1,BA,-90,-9,0.8,0,-1,0,1,0,False
cand_0251,direct_harm_tradeoff,pg_0251,10,0,0.2,100,0,0,0,0,10,10,1.0,0,0,1,0,0,AB,0,-10,-0.8,100,0,-1,0,0,False
cand_0252,rescue_triage,pg_0252,10,10,1.0,0,0,1,0,0,10,10,1.0,100,0,0,0,1,AB,0,0,0.0,-100,0,1,0,-1,False
cand_0253,policy_prevention,pg_0253,10,10,0.2,100,0,1,0,0,1000,1,0.2,10,0,0,1,0,BA,-990,9,0.0,90,0,1,-1,0,False
cand_0254,direct_harm_tradeoff,pg_0254,100,10,1.0,0,0,1,1,0,100,0,1.0,100,1,0,0,0,AB,0,10,0.0,-100,-1,1,1,0,False
cand_0255,rescue_triage,pg_0255,1000,10,0.5,10,1,1,1,1,1000,10,1.0,100,1,0,0,1,BA,0,0,-0.5,-90,0,1,1,0,False
cand_0256,policy_prevention,pg_0256,10,10,0.2,100,1,0,1,1,1000,1,0.2,100,1,1,1,1,BA,-990,9,0.0,0,0,-1,0,0,False
cand_0257,direct_harm_tradeoff,pg_0257,10,10,0.5,0,1,0,1,0,1000,1,0.2,0,1,1,0,0,AB,-990,9,0.3,0,0,-1,1,0,False
cand_0258,rescue_triage,pg_0258,10,1,0.5,10,1,1,0,1,100,10,0.2,0,1,0,0,0,AB,-90,-9,0.3,10,0,1,0,1,False
cand_0259,policy_prevention,pg_0259,10,10,1.0,10,1,1,0,1,1000,10,0.5,100,0,1,1,0,BA,-990,0,0.5,-90,1,0,-1,1,False
cand_0260,direct_harm_tradeoff,pg_0260,1000,10,0.5,0,1,1,1,1,1000,10,0.5,100,1,0,1,1,AB,0,0,0.0,-100,0,1,0,0,False
cand_0261,rescue_triage,pg_0261,100,10,0.2,10,0,1,0,1,10,0,0.5,100,0,1,0,0,AB,90,10,-0.3,-90,0,0,0,1,False
cand_0262,policy_prevention,pg_0262,10,10,0.5,0,0,1,0,1,100,1,0.5,100,1,1,0,0,AB,-90,9,0.0,-100,-1,0,0,1,False
cand_0263,direct_harm_tradeoff,pg_0263,1000,1,1.0,0,0,0,0,0,10,1,0.2,0,0,0,0,0,AB,990,0,0.8,0,0,0,0,0,False
cand_0264,rescue_triage,pg_0264,1000,10,0.2,0,1,0,1,1,1000,0,0.2,100,1,0,0,0,AB,0,10,0.0,-100,0,0,1,1,False
cand_0265,policy_prevention,pg_0265,1000,10,1.0,10,0,0,1,0,10,10,1.0,0,0,1,1,1,AB,990,0,0.0,10,0,-1,0,-1,False
cand_0266,direct_harm_tradeoff,pg_0266,10,10,0.5,100,0,1,1,1,10,1,0.2,0,0,0,0,1,BA,0,9,0.3,100,0,1,1,0,False
cand_0267,rescue_triage,pg_0267,10,10,0.5,10,0,1,0,0,100,1,0.5,0,1,0,1,0,AB,-90,9,0.0,10,-1,1,-1,0,False
cand_0268,policy_prevention,pg_0268,100,1,1.0,100,1,0,1,0,1000,1,0.2,0,0,0,1,1,BA,-900,0,0.8,100,1,0,0,-1,False
cand_0269,direct_harm_tradeoff,pg_0269,100,1,1.0,0,1,1,1,0,10,10,0.5,0,0,0,0,1,AB,90,-9,0.5,0,1,1,1,-1,False
cand_0270,rescue_triage,pg_0270,100,10,0.5,0,0,1,1,0,10,10,0.2,10,1,0,1,0,AB,90,0,0.3,-10,-1,1,0,0,False
cand_0271,policy_prevention,pg_0271,100,0,0.2,0,0,0,0,0,10,10,0.2,0,0,1,1,1,AB,90,-10,0.0,0,0,-1,-1,-1,False
cand_0272,direct_harm_tradeoff,pg_0272,10,10,0.2,10,1,1,1,1,1000,10,0.5,0,0,1,0,1,AB,-990,0,-0.3,10,1,0,1,0,False
cand_0273,rescue_triage,pg_0273,100,1,0.5,10,0,0,0,1,100,1,0.2,10,0,1,0,1,BA,0,0,0.3,0,0,-1,0,0,False
cand_0274,policy_prevention,pg_0274,10,1,1.0,0,0,1,1,1,10,1,0.5,0,0,0,1,0,AB,0,0,0.5,0,0,1,0,1,False
cand_0275,direct_harm_tradeoff,pg_0275,10,10,1.0,10,1,1,0,1,10,1,0.2,100,0,0,1,1,BA,0,9,0.8,-90,1,1,-1,0,False
cand_0276,rescue_triage,pg_0276,10,0,1.0,10,0,1,0,0,10,0,0.2,0,1,1,0,0,AB,0,0,0.8,10,-1,0,0,0,False
cand_0277,policy_prevention,pg_0277,1000,1,0.5,0,0,0,1,0,10,0,0.2,100,1,0,0,0,AB,990,1,0.3,-100,-1,0,1,0,False
cand_0278,direct_harm_tradeoff,pg_0278,100,1,0.2,100,1,0,0,0,10,10,0.2,10,1,0,0,1,BA,90,-9,0.0,90,0,0,0,-1,False
cand_0279,rescue_triage,pg_0279,10,10,0.2,0,1,0,1,1,100,10,0.2,100,1,1,0,0,BA,-90,0,0.0,-100,0,-1,1,1,False
cand_0280,policy_prevention,pg_0280,10,10,0.5,10,1,0,1,1,1000,1,1.0,0,0,0,0,1,BA,-990,9,-0.5,10,1,0,1,0,False
cand_0281,direct_harm_tradeoff,pg_0281,100,1,0.2,10,0,0,0,1,10,1,0.5,10,0,0,1,0,BA,90,0,-0.3,0,0,0,-1,1,False
cand_0282,rescue_triage,pg_0282,1000,10,1.0,100,1,0,0,1,1000,1,1.0,0,0,1,0,0,AB,0,9,0.0,100,1,-1,0,1,False
cand_0283,policy_prevention,pg_0283,10,10,0.2,100,0,0,1,0,1000,10,0.2,100,0,1,1,0,AB,-990,0,0.0,0,0,-1,0,0,False
cand_0284,direct_harm_tradeoff,pg_0284,1000,10,1.0,0,0,1,1,0,100,10,0.5,0,1,1,1,0,BA,900,0,0.5,0,-1,0,0,0,False
cand_0285,rescue_triage,pg_0285,10,1,0.5,0,0,0,0,0,10,10,1.0,10,1,1,0,0,BA,0,-9,-0.5,-10,-1,-1,0,0,False
cand_0286,policy_prevention,pg_0286,10,1,0.2,0,0,0,1,0,100,10,0.5,0,1,0,1,0,AB,-90,-9,-0.3,0,-1,0,0,0,False
cand_0287,direct_harm_tradeoff,pg_0287,100,1,0.5,100,1,0,1,1,100,0,1.0,0,1,0,0,0,AB,0,1,-0.5,100,0,0,1,1,False
cand_0288,rescue_triage,pg_0288,100,0,0.5,10,0,0,0,0,10,0,0.2,10,1,0,0,0,AB,90,0,0.3,0,-1,0,0,0,False
cand_0289,policy_prevention,pg_0289,1000,1,0.5,0,1,1,1,0,10,10,1.0,10,1,0,1,1,BA,990,-9,-0.5,-10,0,1,0,-1,False
cand_0290,direct_harm_tradeoff,pg_0290,10,1,0.2,100,1,1,1,1,100,10,0.5,0,0,0,0,1,AB,-90,-9,-0.3,100,1,1,1,0,False
cand_0291,rescue_triage,pg_0291,1000,1,0.2,10,0,1,0,1,100,1,0.5,100,0,0,0,1,BA,900,0,-0.3,-90,0,1,0,0,False
cand_0292,policy_prevention,pg_0292,100,1,1.0,100,1,1,0,1,1000,10,1.0,100,0,1,1,1,BA,-900,-9,0.0,0,1,0,-1,0,False
cand_0293,direct_harm_tradeoff,pg_0293,100,10,0.2,10,0,1,1,0,1000,10,0.2,0,1,0,1,0,BA,-900,0,0.0,10,-1,1,0,0,False
cand_0294,rescue_triage,pg_0294,10,1,0.5,10,0,1,1,0,100,10,0.5,100,0,1,0,1,AB,-90,-9,0.0,-90,0,0,1,-1,False
cand_0295,policy_prevention,pg_0295,100,1,0.2,0,0,0,1,1,100,10,0.5,0,0,0,1,0,AB,0,-9,-0.3,0,0,0,0,1,False
cand_0296,direct_harm_tradeoff,pg_0296,1000,10,1.0,10,0,0,0,1,1000,1,0.5,10,1,0,1,1,AB,0,9,0.5,0,-1,0,-1,0,False
cand_0297,rescue_triage,pg_0297,10,1,0.5,0,1,0,1,0,10,10,0.2,0,1,0,1,1,BA,0,-9,0.3,0,0,0,0,-1,False
cand_0298,policy_prevention,pg_0298,1000,1,0.5,10,1,1,1,1,10,10,0.2,100,1,0,0,0,BA,990,-9,0.3,-90,0,1,1,1,False
cand_0299,direct_harm_tradeoff,pg_0299,10,1,1.0,0,0,0,0,0,100,1,1.0,100,1,1,0,1,AB,-90,0,0.0,-100,-1,-1,0,-1,False
cand_0300,rescue_triage,pg_0300,100,1,1.0,10,0,0,1,0,1000,0,0.5,10,1,1,0,0,BA,-900,1,0.5,0,-1,-1,1,0,False
cand_0301,policy_prevention,pg_0301,1000,10,0.2,100,1,1,0,1,100,1,0.5,100,1,0,1,0,AB,900,9,-0.3,0,0,1,-1,1,False
cand_0302,direct_harm_tradeoff,pg_0302,100,0,0.2,100,0,0,0,0,100,1,1.0,0,0,0,1,0,AB,0,-1,-0.8,100,0,0,-1,0,False
cand_0303,rescue_triage,pg_0303,1000,0,1.0,100,1,0,0,0,1000,10,0.2,0,0,0,0,0,AB,0,-10,0.8,100,1,0,0,0,False
cand_0304,policy_prevention,pg_0304,10,1,0.5,0,1,1,1,1,1000,0,0.2,10,0,1,0,0,AB,-990,1,0.3,-10,1,0,1,1,False
cand_0305,direct_harm_tradeoff,pg_0305,10,10,0.5,0,0,1,1,1,10,1,0.5,100,0,1,1,1,AB,0,9,0.0,-100,0,0,0,0,False
cand_0306,rescue_triage,pg_0306,1000,10,0.2,100,1,0,0,0,1000,1,1.0,0,1,0,0,1,BA,0,9,-0.8,100,0,0,0,-1,False
cand_0307,policy_prevention,pg_0307,10,10,0.2,10,1,0,1,1,10,1,1.0,100,0,0,1,0,AB,0,9,-0.8,-90,1,0,0,1,False
cand_0308,direct_harm_tradeoff,pg_0308,100,10,1.0,10,0,0,1,1,1000,1,1.0,100,0,0,1,0,AB,-900,9,0.0,-90,0,0,0,1,False
cand_0309,rescue_triage,pg_0309,100,1,1.0,10,0,0,1,1,1000,1,0.2,0,0,1,1,0,BA,-900,0,0.8,10,0,-1,0,1,False
cand_0310,policy_prevention,pg_0310,1000,1,0.2,0,0,0,0,1,1000,10,0.2,10,0,0,1,1,BA,0,-9,0.0,-10,0,0,-1,0,False
cand_0311,direct_harm_tradeoff,pg_0311,1000,1,1.0,0,1,1,0,0,1000,1,0.2,10,1,0,1,0,AB,0,0,0.8,-10,0,1,-1,0,False
cand_0312,rescue_triage,pg_0312,10,0,0.2,0,0,1,0,0,10,1,1.0,10,1,0,0,0,BA,0,-1,-0.8,-10,-1,1,0,0,False
cand_0313,policy_prevention,pg_0313,10,1,1.0,100,0,0,0,0,1000,10,1.0,10,0,1,0,1,AB,-990,-9,0.0,90,0,-1,0,-1,False
cand_0314,direct_harm_tradeoff,pg_0314,1000,1,0.2,100,0,0,1,1,1000,0,0.5,10,0,1,0,0,BA,0,1,-0.3,90,0,-1,1,1,False
cand_0315,rescue_triage,pg_0315,100,10,0.5,100,1,1,0,0,10,10,1.0,10,1,1,0,1,BA,90,0,-0.5,90,0,0,0,-1,False
cand_0316,policy_prevention,pg_0316,100,10,0.2,10,0,1,0,0,100,10,0.2,100,0,0,0,0,AB,0,0,0.0,-90,0,1,0,0,False
cand_0317,direct_harm_tradeoff,pg_0317,100,10,0.2,10,1,0,1,0,1000,10,0.5,0,1,1,0,0,AB,-900,0,-0.3,10,0,-1,1,0,False
cand_0318,rescue_triage,pg_0318,1000,0,1.0,100,0,1,0,0,10,1,0.2,10,1,0,0,1,AB,990,-1,0.8,90,-1,1,0,-1,False
cand_0319,policy_prevention,pg_0319,10,1,1.0,10,0,0,0,0,10,0,1.0,100,0,0,0,0,BA,0,1,0.0,-90,0,0,0,0,False
cand_0320,direct_harm_tradeoff,pg_0320,100,10,0.2,100,0,1,0,1,1000,1,1.0,100,0,1,0,1,AB,-900,9,-0.8,0,0,0,0,0,False
cand_0321,rescue_triage,pg_0321,100,1,0.2,100,1,0,1,1,10,1,1.0,10,0,1,0,1,AB,90,0,-0.8,90,1,-1,1,0,False
cand_0322,policy_prevention,pg_0322,100,1,0.2,100,1,1,0,0,100,1,1.0,0,0,1,0,0,AB,0,0,-0.8,100,1,0,0,0,False
cand_0323,direct_harm_tradeoff,pg_0323,100,1,0.2,0,1,1,0,1,10,10,0.5,0,0,0,0,0,AB,90,-9,-0.3,0,1,1,0,1,False
cand_0324,rescue_triage,pg_0324,10,0,1.0,10,0,1,0,0,1000,10,0.5,100,1,0,1,1,BA,-990,-10,0.5,-90,-1,1,-1,-1,False
cand_0325,policy_prevention,pg_0325,1000,0,0.2,0,1,0,0,0,100,1,0.5,10,0,0,1,0,AB,900,-1,-0.3,-10,1,0,-1,0,False
